address,business_status,category,city,country,country_code,google_id,latitude,logo,longitude,name,owner_title,phone,photo,place_id,postal_code,rating,reviews,state,street,subtypes,type,verified,website,working_hours
"C. Perú 1339 Col, 5 de Diciembre, 48350 Puerto Vallarta, Jal.",OPERATIONAL,Centro de estética,Puerto Vallarta,Mexico,MX,0x842145fb84eaf4b3:0xeb84c0801d636fde,20.620288,https://lh4.googleusercontent.com/-FsL7v4XkZqg/AAAAAAAAAAI/AAAAAAAAAAA/aLO0vq_Z1PY/s44-p-k-no-ns-nd/photo.jpg,-105.23040879999999,Bavilo Salón & Spa,Bavilo Salón & Spa,+52 322 105 8870,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepd11UIpwtLtD0FhRG_1xzZPBQOOyoRe8Pd6dhznZbTBM6ahYmYi3ro6bG4QdqtPcTRUqBnZqbv3PWoi4eITYFdYj4h7zGYsHbXgx5kOPUegOaYvih1OcxYFU5TUXYGevPzU3rG=w800-h500-k-no,ChIJs_TqhPtFIYQR3m9jHYDAhOs,48350,4.9,35.0,Jalisco,C. Perú 1339 Col,"Centro de estética, Balneario",Centro de estética,True,,"{""domingo"": [""Cerrado""], ""jueves"": [""10a.m.-8p.m.""], ""lunes"": [""10a.m.-8p.m.""], ""martes"": [""10a.m.-8p.m.""], ""miércoles"": [""10a.m.-8p.m.""], ""sábado"": [""10a.m.-8p.m.""], ""viernes"": [""10a.m.-8p.m.""]}"
"Paseo de la Marina Sur 159, Las Palmas II, Local 13 y 14, Marina Vallarta, 48335 Puerto Vallarta, Jal.",OPERATIONAL,Spa de masajes,Puerto Vallarta,Mexico,MX,0x842145fb5d6601d7:0xc22e8fe9e573fc72,20.6629133,https://lh6.googleusercontent.com/-X3SQ4ehTgOs/AAAAAAAAAAI/AAAAAAAAAAA/5gThs9Tof8g/s44-p-k-no-ns-nd/photo.jpg,-105.25429009999999,Marina Salón Spa,Marina Salón Spa,+52 322 221 3694,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqFL3qkK4Voi_vtn_tG-Z1mnjIgEWfsJeZdHycOIIC4v94NrBki9Evx9dn4Plv5tcHdZg23DXWbLDbJbHipP0Yxdy61oIAouU6HfwEg61mbwqx1LlDN1ARWXKjhCxFJusFySmBD=w800-h500-k-no,ChIJ1wFmXftFIYQRcvxz5emPLsI,48335,4.7,158.0,Jal.,"Paseo de la Marina Sur 159, Las Palmas II, Local 13 y 14","Esteticista facial, Servicio de depilación, Reflexología, Masajista deportivo",Esteticista facial,True,http://marinasalonspa.com.mx/,"{""domingo"": [""10a.m.-6p.m.""], ""jueves"": [""10a.m.-7p.m.""], ""lunes"": [""10a.m.-7p.m.""], ""martes"": [""10a.m.-7p.m.""], ""miércoles"": [""10a.m.-7p.m.""], ""sábado"": [""10a.m.-7p.m.""], ""viernes"": [""10a.m.-7p.m.""]}"
"Plaza centro city, C. Prisciliano Sánchez 519-local 2, Las Moras, Villa del Sol, 48313 Puerto Vallarta, Jal.",OPERATIONAL,Centro de estética,Puerto Vallarta,Mexico,MX,0x8421450eb3c9eb1d:0x581204b76fe38944,20.6552632,https://lh4.googleusercontent.com/-jAcemXVlmGc/AAAAAAAAAAI/AAAAAAAAAAA/TLbQSDKt7G0/s44-p-k-no-ns-nd/photo.jpg,-105.2311859,Natividad Melchor NM Beauty salón& salón,Natividad Melchor NM Beauty salón& salón,+52 322 232 1821,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer_VQsEPqHT81b2yDHtMZdpf1kW-qB3ARJJ7xg90du4HMR5xnCVaDAu9fIosOd5M7DZ6Dh0YuPKOJuEE2U2KDmOOa7x_t_6zwcjGm143zV1iTcByBOFqxH5-EUAOmmK_Hky99Tf1FtW-vmy=w800-h500-k-no,ChIJHevJsw5FIYQRRInjb7cEElg,48313,5.0,17.0,Jalisco,"Plaza centro city, C. Prisciliano Sánchez 519-local 2",Centro de estética,Centro de estética,True,,"{""domingo"": [""Cerrado""], ""jueves"": [""10a.m.-8p.m.""], ""lunes"": [""10a.m.-8p.m.""], ""martes"": [""10a.m.-8p.m.""], ""miércoles"": [""10a.m.-8p.m.""], ""sábado"": [""10a.m.-8p.m.""], ""viernes"": [""10a.m.-8p.m.""]}"
"C. Honduras 139C, 5 de Diciembre, 48350 Puerto Vallarta, Jal.",OPERATIONAL,Centro de estética,Puerto Vallarta,Mexico,MX,0x842145434c0ba2cf:0x522abc1c60c54e5e,20.6190791,https://lh3.googleusercontent.com/-BCUHNxXh1yc/AAAAAAAAAAI/AAAAAAAAAAA/2geHyy11XIc/s44-p-k-no-ns-nd/photo.jpg,-105.23136679999999,The Witchery Salon,The Witchery Salon,+52 322 134 7485,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5ITnzOBO1fPvceb1GwhEu1gRtF3lxhqMzlSUJvkAf3THA1YHCGOAFeWTMQBGAbEpsta-QNxK3nq4wD-FWuMZr1O3UUgesOH0kZOMWgLtBNLfywbNcgHgzci42RlWA67qg3gg=w800-h500-k-no,ChIJz6ILTENFIYQRXk7FYBy8KlI,48350,4.9,97.0,Jalisco,C. Honduras 139C,Centro de estética,Centro de estética,True,http://www.thewitcherysalon.com/,"{""domingo"": [""Cerrado""], ""jueves"": [""10a.m.-5p.m.""], ""lunes"": [""10a.m.-5p.m.""], ""martes"": [""10a.m.-5p.m.""], ""miércoles"": [""10a.m.-5p.m.""], ""sábado"": [""10a.m.-5p.m.""], ""viernes"": [""10a.m.-5p.m.""]}"
"Paseo Benemérito de las Americas 238, Valentín Gómez Farias, 48320 Puerto Vallarta, Jal.",OPERATIONAL,Centro de estética,Puerto Vallarta,Mexico,MX,0x84214563b4367b39:0xf78d6cd81aa6ba57,20.6314432,https://lh4.googleusercontent.com/-AL824jpxEk4/AAAAAAAAAAI/AAAAAAAAAAA/9rSe6LmMw6U/s44-p-k-no-ns-nd/photo.jpg,-105.2241064,El Salón Twins,El Salón Twins,+52 322 117 4006,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo25o5hl-zatk2nl9IwdWCN851VKPNpHLGTc_S4xvSqxSlY33l2yDi4g0ZKDCg536Dg5gufw13EKEP2I2xRzLbAkpKJ8rBClVV2Kh1LT02nRFokj9j5p1E1aUEUkQpJjW761ELLjw=w800-h500-k-no,ChIJOXs2tGNFIYQRV7qmGthsjfc,48320,4.9,75.0,Jalisco,Paseo Benemérito de las Americas 238,Centro de estética,Centro de estética,True,https://www.facebook.com/elSalonTwins/,"{""domingo"": [""Cerrado""], ""jueves"": [""10a.m.-2p.m."", ""4-7p.m.""], ""lunes"": [""10a.m.-2p.m."", ""4-7p.m.""], ""martes"": [""10a.m.-2p.m."", ""4-7p.m.""], ""miércoles"": [""10a.m.-2p.m."", ""4-7p.m.""], ""sábado"": [""10a.m.-4p.m.""], ""viernes"": [""10a.m.-2p.m."", ""4-7p.m.""]}"
"Blvd. Francisco Medina Ascencio, 5 Interior Plaza Neptuno KM 7, Marina Vallarta, 48335 Puerto Vallarta, Jal.",OPERATIONAL,Spa de día,Puerto Vallarta,Mexico,MX,0x842145c6e43c2f2d:0xf4770b011a9737d8,20.6673817,https://lh3.googleusercontent.com/-kXc2ykkXInI/AAAAAAAAAAI/AAAAAAAAAAA/cg4JlvYxcs8/s44-p-k-no-ns-nd/photo.jpg,-105.2485988,Artepil Spa (Marina Vallarta),Artepil Spa,+52 322 135 6976,https://lh3.googleusercontent.com/gps-cs-s/AHVAweplwSjuOFKX_aRbhvXqhIKfhrhGmHNpCZ8vywQahlSdpUzeo4vB9cu4HWR6FX2nzUqNiyVerwApkXfbk0q5di_ggXzh6IP9jeYVOSkgwbuaK1MIVbDwUTI8Kp37EzZh03k93A0U=w800-h500-k-no,ChIJLS885MZFIYQR2DeXGgELd_Q,48335,4.8,143.0,Jal.,"Blvd. Francisco Medina Ascencio, 5 Interior Plaza Neptuno KM 7","Spa de día, Esteticista facial, Cuidado de los pies, Servicio de depilación, Balneario, Salón de manicura y pedicura",Spa de día,True,http://artepil.com/,"{""domingo"": [""Cerrado""], ""jueves"": [""8a.m.-8p.m.""], ""lunes"": [""8a.m.-8p.m.""], ""martes"": [""8a.m.-8p.m.""], ""miércoles"": [""8a.m.-8p.m.""], ""sábado"": [""8a.m.-8p.m.""], ""viernes"": [""8a.m.-8p.m.""]}"
"C. Juárez 541, Proyecto escola, Centro, 48300 Puerto Vallarta, Jal.",OPERATIONAL,Barber shop,Puerto Vallarta,Mexico,MX,0x84214511d21539e3:0xb08d93ce572972d1,20.6102426,https://lh3.googleusercontent.com/-uLA78AueaW0/AAAAAAAAAAI/AAAAAAAAAAA/DpTQunVDwtY/s44-p-k-no-ns-nd/photo.jpg,-105.2340347,"The Venue PVR Barber, Nails & Spa","The Venue PVR Barber, Nails & Spa",+52 322 209 4748,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerEbc5T9oZonFZ7bwvW4ud8QoXvuif73ZejWMGWnR8o1lAA3tmXUMBMp6m_3XTfLXANNxXFpIPEK-7VUC9sgQ3d5dx0kJgKueU29ylnnxh4HRpCMw3ceQXI4tYsOep8s-qs73YD=w800-h500-k-no,ChIJ4zkV0hFFIYQR0XIpV86TjbA,48300,4.8,156.0,Jalisco,C. Juárez 541,"Barbería, Salón de manicura y pedicura, Spa",Barbería,True,https://www.fresha.com/book-now/the-venue-pvr-g2ej4dzk/services%3Flid%3D788607%26pId%3D740995,"{""domingo"": [""9a.m.-6:30p.m.""], ""jueves"": [""9a.m.-6:30p.m.""], ""lunes"": [""9a.m.-6:30p.m.""], ""martes"": [""9a.m.-6:30p.m.""], ""miércoles"": [""9a.m.-6:30p.m.""], ""sábado"": [""9a.m.-6:30p.m.""], ""viernes"": [""9a.m.-6:30p.m.""]}"
"Blvd. Francisco Medina Ascencio 1989 Plaza Villas Vallarta local F-18, Las Glorias, 48333 Puerto Vallarta, Jal.",OPERATIONAL,Beauty salon,Puerto Vallarta,Mexico,MX,0x842145cb92f273a7:0x1a0732772abb2dd7,20.6343124,https://lh4.googleusercontent.com/-Nr4KK2c8-sI/AAAAAAAAAAI/AAAAAAAAAAA/vR1gz48pD0g/s44-p-k-no-ns-nd/photo.jpg,-105.23107379999999,L'ARTISTE SALON,L'ARTISTE SALON,+52 322 328 2900,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepXS5pYQZqilmSFy43BkvwZWHSCCXAZf737OqbfJLx-Y3vhTspSQJYwS1RlIcMySDYsvTL_mAojJWKGmvRpn7tk1_gbgdpqMF09S0SYj2vIDHTewaq_LKZqJEa_xDDsa-BujsSk=w800-h500-k-no,ChIJp3PykstFIYQR1y27KncyBxo,48333,4.7,61.0,Jal.,Blvd. Francisco Medina Ascencio 1989 Plaza Villas Vallarta local F-18,Centro de estética,Centro de estética,True,http://www.lartistesalon.com/,"{""domingo"": [""Cerrado""], ""jueves"": [""10a.m.-7p.m.""], ""lunes"": [""Cerrado""], ""martes"": [""10a.m.-7p.m.""], ""miércoles"": [""10a.m.-7p.m.""], ""sábado"": [""10a.m.-7p.m.""], ""viernes"": [""10a.m.-7p.m.""]}"
"Río Potomac 117, Fovissste 100, Col. Fluvial, 48312 Puerto Vallarta, Jal.",OPERATIONAL,Centro de estética,Puerto Vallarta,Mexico,MX,0x842145ca2393f539:0x4dc5c859643fba09,20.6451547,https://lh4.googleusercontent.com/-c23BXk9pTQg/AAAAAAAAAAI/AAAAAAAAAAA/7YKTOkuU858/s44-p-k-no-ns-nd/photo.jpg,-105.2215756,Jeniffer Lopez Beauty Artist Puerto Vallarta,Jeniffer Lopez Beauty Artist Puerto Vallarta,+52 322 301 8702,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoTxOf1N2ocfXDaYQdRUH23mVXxuV5BZj6l0geY7qxsysPDFtByKsd4shuv29jic5C7uITpHgcqkQCT_KeDR7QBBR-TOJ9EPZ-Ykhkmp5DNN7sUxj45wuSG4BepOyrPbWrfGLP1TQ=w800-h500-k-no,ChIJOfWTI8pFIYQRCbo_ZFnIxU0,48312,5.0,30.0,Jalisco,Río Potomac 117,"Centro de estética, Spa",Centro de estética,True,http://www.facebook.com/maquillistanoviasyxv,"{""domingo"": [""Cerrado""], ""jueves"": [""9:30a.m.-6p.m.""], ""lunes"": [""9:30a.m.-6p.m.""], ""martes"": [""9:30a.m.-6p.m.""], ""miércoles"": [""9:30a.m.-6p.m.""], ""sábado"": [""9a.m.-4p.m.""], ""viernes"": [""9:30a.m.-6p.m.""]}"
"Avenida Fluvial Vallarta, Plaza San Marino 260, Fluvial Vallarta, 48312 Puerto Vallarta, Jal.",OPERATIONAL,Spa,Puerto Vallarta,Mexico,MX,0x84214579c316b26f:0x6477d4976b1ebace,20.643044,https://lh6.googleusercontent.com/-ISTByodsIas/AAAAAAAAAAI/AAAAAAAAAAA/3hZ75m5y0QQ/s44-p-k-no-ns-nd/photo.jpg,-105.2303379,Artepil Spa (Fluvial Vallarta),Artepil Spa,+52 322 224 2608,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerm_zbdyMy_sIHjUiNvVqbNij6M6mzYibWd_FGQDSTE4Bc--0BTbD-jnYEFTpYmmodYlCYiwxRjSha3ec_KHMpXFbHpz2unRYVdGJe58ZoQc5x9qOV8sf4M3v20L9HFFNex1jY=w800-h500-k-no,ChIJb7IWw3lFIYQRzroea5fUd2Q,48312,4.8,332.0,Jal.,"Avenida Fluvial Vallarta, Plaza San Marino 260","Spa, Esteticista facial, Servicio de depilación",Spa,True,http://artepil.com/,"{""domingo"": [""Cerrado""], ""jueves"": [""8a.m.-8p.m.""], ""lunes"": [""8a.m.-8p.m.""], ""martes"": [""8a.m.-8p.m.""], ""miércoles"": [""8a.m.-8p.m.""], ""sábado"": [""8a.m.-8p.m.""], ""viernes"": [""8a.m.-8p.m.""]}"
